"simple_linnean_group_alt","major_type","linnean_order","linnean_family","linnean_subfamily","linnean_tribe","species","subspecies","genus","internal_id","canonical_sciname","notes","citation","extinct?","juniorSynonym?","synonymOf?","newSppSinceMSW3?","IfNew_category","IfNew_valid_SciName","IfNew_described_SciName","IfNew_GeoRegion","IfNew_evidenceCitation","IfNew_evidenceAuthors","IfNew_evidenceYear","IfNew_evidenceLink","IfNew_nameCitation","IfNew_nameAuthors","IfNew_nameYear","IfNew_nameLink","genusTransfersinceMSW3?","IfTransfer_oldSciName","IfTransfer_oldIUCN_ID","IfTransfer_evidenceCitation"
"placentalia","boreoeutheria","rodentia","cricetidae","arvicolinae","microtini","oeconomus","","alexandromys","400000014","Alexandromys oeconomus","previously included in Microtus","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170.","false","false","","false","","","","","","","","","","","","","true","Microtus oeconomus"," tolookup","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170."
"placentalia","boreoeutheria","rodentia","cricetidae","arvicolinae","microtini","sachalinensis","","alexandromys","13455","Alexandromys sachalinensis","transferred to Alexandromys","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170.","false","false","","false","","","","","","","","","","","","","true","Microtus sachalinensis"," tolookup","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170."
"placentalia","boreoeutheria","chiroptera","pteropodidae","harpyionycterinae","","bidens","","boneia","400000060","Boneia bidens","moved to Boneia from Rousettus in many recent taxonomies, summarized in the given publication ","Almeida, F. C., Giannini, N. P., & Simmons, N. B. (2016). The evolutionary history of the African fruit bats (Chiroptera: Pteropodidae). Acta Chiropterologica, 18(1), 73-108.","false","false","","false","","","","","","","","","","","","","true","Rousettus bidens"," tolookup","Almeida, F. C., Giannini, N. P., & Simmons, N. B. (2016). The evolutionary history of the African fruit bats (Chiroptera: Pteropodidae). Acta Chiropterologica, 18(1), 73-108."
"placentalia","boreoeutheria","chiroptera","molossidae","molossinae","","aequatorianus","","cabreramops","400000065","Cabreramops aequatorianus","split from Molossops based on genetic data","Gregorin, R., & Cirranello, A. (2016). Phylogeny of Molossidae Gervais (Mammalia: Chiroptera) inferred by morphological data. Cladistics, 32(1), 2-35.","false","false","","false","","","","","","","","","","","","","true","Molossops aequatorianus"," tolookup","Gregorin, R., & Cirranello, A. (2016). Phylogeny of Molossidae Gervais (Mammalia: Chiroptera) inferred by morphological data. Cladistics, 32(1), 2-35."
"placentalia","boreoeutheria","rodentia","sciuridae","xerinae","marmotini","lateralis","","callospermophilus","42468","Callospermophilus lateralis","","","false","false","","false","","","","","","","","","","","","","true","Spermophilus lateralis","42468","Helgen, K. M., Cole, F. R., Helgen, L. E., & Wilson, D. E. (2009). Generic Revision in the Holarctic Ground Squirrel Genus Spermophilus. Journal of Mammalogy, 90(2), 270–305. http://doi.org/10.1644/07-MAMM-A-309.30"
"placentalia","boreoeutheria","rodentia","sciuridae","xerinae","marmotini","madrensis","","callospermophilus","20485","Callospermophilus madrensis","","","false","false","","false","","","","","","","","","","","","","true","Spermophilus madrensis","20485","Helgen, K. M., Cole, F. R., Helgen, L. E., & Wilson, D. E. (2009). Generic Revision in the Holarctic Ground Squirrel Genus Spermophilus. Journal of Mammalogy, 90(2), 270–305. http://doi.org/10.1644/07-MAMM-A-309.28"
"placentalia","boreoeutheria","rodentia","sciuridae","xerinae","marmotini","saturatus","","callospermophilus","42562","Callospermophilus saturatus","","","false","false","","false","","","","","","","","","","","","","true","Spermophilus saturatus","42562","Helgen, K. M., Cole, F. R., Helgen, L. E., & Wilson, D. E. (2009). Generic Revision in the Holarctic Ground Squirrel Genus Spermophilus. Journal of Mammalogy, 90(2), 270–305. http://doi.org/10.1644/07-MAMM-A-309.27"
"placentalia","boreoeutheria","primates","tarsiidae","","","syrichta","","carlito","400000068","Carlito syrichta","moved to Carlito on genetic and morphological grounds","Groves, C., & Shekelle, M. (2010). The genera and species of Tarsiidae. International Journal of Primatology, 31(6), 1071-1082.","false","false","","false","","","","","","","","","","","","","true","Tarsius syrichta"," tolookup","Groves, C., & Shekelle, M. (2010). The genera and species of Tarsiidae. International Journal of Primatology, 31(6), 1071-1082."
"placentalia","boreoeutheria","chiroptera","pteropodidae","rousettinae","scotonycterini","ophiodon","","casinycteris","20059","Casinycteris ophiodon","","","false","false","","false","","","","","","","","","","","","","true","Scotonycteris ophiodon","20059","Hassanin, A. (2014). Description of a new bat species of the tribe Scotonycterini (Chiroptera, Pteropodidae) from Southwestern Cameroon. Comptes Rendus Biologies, 337(2), 134–42. http://doi.org/10.1016/j.crvi.2013.12.006"
"placentalia","boreoeutheria","rodentia","cricetidae","sigmodontinae","akodontini","serrensis","","castoria","400000070","Castoria serrensis","Castoria described for serrensis, which was previously included in Akodon","Pardiñas, U. F., Geise, L., Ventura, K., & Lessa, G. (2016). A new genus for Habrothrix angustidens and Akodon serrensis (Rodentia, Cricetidae): again paleontology meets neontology in the legacy of lund. Mastozoología neotropical, 23(1), 93-115.","false","false","","false","","","","","","","","","","","","","true","Akodon serrensis"," tolookup","Pardiñas, U. F., Geise, L., Ventura, K., & Lessa, G. (2016). A new genus for Habrothrix angustidens and Akodon serrensis (Rodentia, Cricetidae): again paleontology meets neontology in the legacy of lund. Mastozoología neotropical, 23(1), 93-115."
"placentalia","boreoeutheria","primates","tarsiidae","","","bancanus","","cephalopachus","400000073","Cephalopachus bancanus","moved to Cephalopachus due to genetic and morphological data","Groves, C., & Shekelle, M. (2010). The genera and species of Tarsiidae. International Journal of Primatology, 31(6), 1071-1082.","false","false","","false","","","","","","","","","","","","","true","Tarsius bancanus"," tolookup","Groves, C., & Shekelle, M. (2010). The genera and species of Tarsiidae. International Journal of Primatology, 31(6), 1071-1082."
"placentalia","boreoeutheria","chiroptera","molossidae","molossinae","","jobimena","","chaerephon","100000430","Chaerephon jobimena","misspelt (should be a at the end) and recently described in 2004","Andriafidison, D., Cardiff, S.G., Goodman, S.M., Hutson, A.M., Jenkins, R.K.B., Kofoky, A.F., Racey, P.A., Ranivo, J., Ratrimomanarivo, F.H. & Razafimanahaka, H.J. 2014. Chaerephon jobimena. The IUCN Red List of Threatened Species 2014: e.T136393A67361227""&"". http://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T136393A67361227.en. Downloaded on 13 April 2017."")","false","false","","true","denovo","Chaerephon jobimena","Chaerephon jobimena"," notentered","Andriafidison, D., Cardiff, S.G., Goodman, S.M., Hutson, A.M., Jenkins, R.K.B., Kofoky, A.F., Racey, P.A., Ranivo, J., Ratrimomanarivo, F.H. & Razafimanahaka, H.J. 2014. Chaerephon jobimena. The IUCN Red List of Threatened Species 2014","Andriafidison, D., Cardiff, S.G., Goodman, S.M., Hutson, A.M., Jenkins, R.K.B., Kofoky, A.F., Racey, P.A., Ranivo, J., Ratrimomanarivo, F.H & Razafimanahaka, H.J","2014"," noneYet"," noneYet","Goodman & Cardiff","2004"," noneYet","true","Tadarida jobimena","136393","Lamb, J. M., Ralph, T. M. C., Naidoo, T., Taylor, P. J., Ratrimomanarivo, F., Stanley, W. T., & Goodman, S. M. (2011). Toward a Molecular Phylogeny for the Molossidae (Chiroptera) of the Afro-Malagasy Region. Acta Chiropterologica, 13(1), 1–16. http://doi.org/10.3161/150811011X578589"
"placentalia","boreoeutheria","primates","pitheciidae","callicebinae","","lucifer","","cheracebus","400000076","Cheracebus lucifer","moved to Cheracebus","Byrne, H., Rylands, A. B., Carneiro, J. C., Alfaro, J. W. L., Bertuol, F., da Silva, M. N., ... & Hrbek, T. (2016). Phylogenetic relationships of the New World titi monkeys (Callicebus): first appraisal of taxonomy based on molecular evidence. Frontiers in zoology, 13(1), 10.","false","false","","false","","","","","","","","","","","","","true","Callicebus lucifer"," tolookup","Byrne, H., Rylands, A. B., Carneiro, J. C., Alfaro, J. W. L., Bertuol, F., da Silva, M. N., ... & Hrbek, T. (2016). Phylogenetic relationships of the New World titi monkeys (Callicebus): first appraisal of taxonomy based on molecular evidence. Frontiers in zoology, 13(1), 10."
"placentalia","boreoeutheria","primates","pitheciidae","callicebinae","","lugens","","cheracebus","400000077","Cheracebus lugens","moved to Cheracebus","Byrne, H., Rylands, A. B., Carneiro, J. C., Alfaro, J. W. L., Bertuol, F., da Silva, M. N., ... & Hrbek, T. (2016). Phylogenetic relationships of the New World titi monkeys (Callicebus): first appraisal of taxonomy based on molecular evidence. Frontiers in zoology, 13(1), 10.","false","false","","false","","","","","","","","","","","","","true","Callicebus lugens"," tolookup","Byrne, H., Rylands, A. B., Carneiro, J. C., Alfaro, J. W. L., Bertuol, F., da Silva, M. N., ... & Hrbek, T. (2016). Phylogenetic relationships of the New World titi monkeys (Callicebus): first appraisal of taxonomy based on molecular evidence. Frontiers in zoology, 13(1), 10."
"placentalia","boreoeutheria","primates","pitheciidae","callicebinae","","medemi","","cheracebus","400000078","Cheracebus medemi","moved to Cheracebus","Byrne, H., Rylands, A. B., Carneiro, J. C., Alfaro, J. W. L., Bertuol, F., da Silva, M. N., ... & Hrbek, T. (2016). Phylogenetic relationships of the New World titi monkeys (Callicebus): first appraisal of taxonomy based on molecular evidence. Frontiers in zoology, 13(1), 10.","false","false","","false","","","","","","","","","","","","","true","Callicebus medemi"," tolookup","Byrne, H., Rylands, A. B., Carneiro, J. C., Alfaro, J. W. L., Bertuol, F., da Silva, M. N., ... & Hrbek, T. (2016). Phylogenetic relationships of the New World titi monkeys (Callicebus): first appraisal of taxonomy based on molecular evidence. Frontiers in zoology, 13(1), 10."
"placentalia","boreoeutheria","primates","pitheciidae","callicebinae","","purinus","","cheracebus","400000079","Cheracebus purinus","moved to Cheracebus","Byrne, H., Rylands, A. B., Carneiro, J. C., Alfaro, J. W. L., Bertuol, F., da Silva, M. N., ... & Hrbek, T. (2016). Phylogenetic relationships of the New World titi monkeys (Callicebus): first appraisal of taxonomy based on molecular evidence. Frontiers in zoology, 13(1), 10.","false","false","","false","","","","","","","","","","","","","true","Callicebus purinus"," tolookup","Byrne, H., Rylands, A. B., Carneiro, J. C., Alfaro, J. W. L., Bertuol, F., da Silva, M. N., ... & Hrbek, T. (2016). Phylogenetic relationships of the New World titi monkeys (Callicebus): first appraisal of taxonomy based on molecular evidence. Frontiers in zoology, 13(1), 10."
"placentalia","boreoeutheria","primates","pitheciidae","callicebinae","","regulus","","cheracebus","400000080","Cheracebus regulus","moved to Cheracebus","Byrne, H., Rylands, A. B., Carneiro, J. C., Alfaro, J. W. L., Bertuol, F., da Silva, M. N., ... & Hrbek, T. (2016). Phylogenetic relationships of the New World titi monkeys (Callicebus): first appraisal of taxonomy based on molecular evidence. Frontiers in zoology, 13(1), 10.","false","false","","false","","","","","","","","","","","","","true","Callicebus regulus"," tolookup","Byrne, H., Rylands, A. B., Carneiro, J. C., Alfaro, J. W. L., Bertuol, F., da Silva, M. N., ... & Hrbek, T. (2016). Phylogenetic relationships of the New World titi monkeys (Callicebus): first appraisal of taxonomy based on molecular evidence. Frontiers in zoology, 13(1), 10."
"placentalia","boreoeutheria","primates","pitheciidae","callicebinae","","torquatus","","cheracebus","400000081","Cheracebus torquatus","moved to Cheracebus","Byrne, H., Rylands, A. B., Carneiro, J. C., Alfaro, J. W. L., Bertuol, F., da Silva, M. N., ... & Hrbek, T. (2016). Phylogenetic relationships of the New World titi monkeys (Callicebus): first appraisal of taxonomy based on molecular evidence. Frontiers in zoology, 13(1), 10.","false","false","","false","","","","","","","","","","","","","true","Callicebus torquatus"," tolookup","Byrne, H., Rylands, A. B., Carneiro, J. C., Alfaro, J. W. L., Bertuol, F., da Silva, M. N., ... & Hrbek, T. (2016). Phylogenetic relationships of the New World titi monkeys (Callicebus): first appraisal of taxonomy based on molecular evidence. Frontiers in zoology, 13(1), 10."
"placentalia","boreoeutheria","rodentia","muridae","murinae","rattini","langbianis","","chiromyscus","400000083","Chiromyscus langbianis","misspelt, should be langbianis","","false","false","","false","","","","","","","","","","","","","true","Niviventer langbianis","14822","Balakirev, A. E., Abramov, A. V., & Rozhnov, V. V. (2014). Phylogenetic relationships in the Niviventer-Chiromyscus complex (Rodentia, Muridae) inferred from molecular data, with description of a new species. ZooKeys, (451), 109–136. http://doi.org/10.3897/zookeys.451.7210"
"placentalia","boreoeutheria","rodentia","erethizontidae","erethizontinae","","ichillus","","coendou","136597","Coendou ichillus","","","false","false","","false","","","","","","","","","","","","","true","Sphiggurus ichillus","136597","Voss, R. S. (2011). Revisionary notes on neotropical porcupines (Rodentia, Erethizontidae). 3, An annotated checklist of the species of Coendou Lacépède, 1799. (American Museum novitates, no. 3720). Retrieved from http://digitallibrary.amnh.org/handle/2246/6121"
"placentalia","boreoeutheria","rodentia","erethizontidae","erethizontinae","","insidiosus","","coendou","20631","Coendou insidiosus","","","false","false","","false","","","","","","","","","","","","","true","Sphiggurus insidiosus","20631","Voss, R. S. (2011). Revisionary notes on neotropical porcupines (Rodentia, Erethizontidae). 3, An annotated checklist of the species of Coendou Lacépède, 1799. (American Museum novitates, no. 3720). Retrieved from http://digitallibrary.amnh.org/handle/2246/6121"
"placentalia","boreoeutheria","rodentia","erethizontidae","erethizontinae","","melanurus","","coendou","136738","Coendou melanurus","","","false","false","","false","","","","","","","","","","","","","true","Sphiggurus melanurus","136738","Voss, R. S. (2011). Revisionary notes on neotropical porcupines (Rodentia, Erethizontidae). 3, An annotated checklist of the species of Coendou Lacépède, 1799. (American Museum novitates, no. 3720). Retrieved from http://digitallibrary.amnh.org/handle/2246/6121"
"placentalia","boreoeutheria","rodentia","erethizontidae","erethizontinae","","mexicanus","","coendou","20629","Coendou mexicanus","","","false","false","","false","","","","","","","","","","","","","true","Sphiggurus mexicanus","20629","Voss, R. S. (2011). Revisionary notes on neotropical porcupines (Rodentia, Erethizontidae). 3, An annotated checklist of the species of Coendou Lacépède, 1799. (American Museum novitates, no. 3720). Retrieved from http://digitallibrary.amnh.org/handle/2246/6121"
"placentalia","boreoeutheria","rodentia","erethizontidae","erethizontinae","","pruinosus","","coendou","136485","Coendou pruinosus","","","false","false","","false","","","","","","","","","","","","","true","Sphiggurus pruinosus","136485","Voss, R. S. (2011). Revisionary notes on neotropical porcupines (Rodentia, Erethizontidae). 3, An annotated checklist of the species of Coendou Lacépède, 1799. (American Museum novitates, no. 3720). Retrieved from http://digitallibrary.amnh.org/handle/2246/6121"
"placentalia","boreoeutheria","rodentia","erethizontidae","erethizontinae","","roosmalenorum","","coendou","136518","Coendou roosmalenorum","","","false","false","","false","","","","","","","","","","","","","true","Sphiggurus roosmalenorum","136518","Voss, R. S. (2011). Revisionary notes on neotropical porcupines (Rodentia, Erethizontidae). 3, An annotated checklist of the species of Coendou Lacépède, 1799. (American Museum novitates, no. 3720). Retrieved from http://digitallibrary.amnh.org/handle/2246/6121"
"placentalia","boreoeutheria","rodentia","erethizontidae","erethizontinae","","rufescens","","coendou","7010","Coendou rufescens","","","false","false","","false","","","","","","","","","","","","","true","Echinoprocta rufescens","7010","Voss, R. S. (2011). Revisionary notes on neotropical porcupines (Rodentia, Erethizontidae). 3, An annotated checklist of the species of Coendou Lacépède, 1799. (American Museum novitates, no. 3720). Retrieved from http://digitallibrary.amnh.org/handle/2246/6121"
"placentalia","boreoeutheria","rodentia","erethizontidae","erethizontinae","","spinosus","","coendou","20630","Coendou spinosus","","","false","false","","false","","","","","","","","","","","","","true","Sphiggurus spinosus","20630","Voss, R. S. (2011). Revisionary notes on neotropical porcupines (Rodentia, Erethizontidae). 3, An annotated checklist of the species of Coendou Lacépède, 1799. (American Museum novitates, no. 3720). Retrieved from http://digitallibrary.amnh.org/handle/2246/6121"
"placentalia","boreoeutheria","rodentia","erethizontidae","erethizontinae","","vestitus","","coendou","20633","Coendou vestitus","","","false","false","","false","","","","","","","","","","","","","true","Sphiggurus vestitus","20633","Voss, R. S. (2011). Revisionary notes on neotropical porcupines (Rodentia, Erethizontidae). 3, An annotated checklist of the species of Coendou Lacépède, 1799. (American Museum novitates, no. 3720). Retrieved from http://digitallibrary.amnh.org/handle/2246/6121"
"placentalia","boreoeutheria","rodentia","cricetidae","arvicolinae","myodini","andersoni","","craseomys","400000090","Craseomys andersoni","moved to Craseomys based on genetic data","Kohli, B. A., Speer, K. A., Kilpatrick, C. W., Batsaikhan, N., Damdinbaza, D., & Cook, J. A. (2014). Multilocus systematics and non-punctuated evolution of Holarctic Myodini (Rodentia: Arvicolinae). Molecular phylogenetics and evolution, 76, 18-29.; Abramson, N.I., Lissovsky, A.A., 2012. Subfamily Arvicolinae. In: Pavlinov, I.Y.,Lissovsky, A.A. (Eds.), The Mammals of Russia: A Taxonomic and Geographic Reference. KMK Scientific Press, Moscow, pp. 220–276.).","false","false","","false","","","","","","","","","","","","","true","Myodes andersoni"," tolookup","Kohli, B. A., Speer, K. A., Kilpatrick, C. W., Batsaikhan, N., Damdinbaza, D., & Cook, J. A. (2014). Multilocus systematics and non-punctuated evolution of Holarctic Myodini (Rodentia: Arvicolinae). Molecular phylogenetics and evolution, 76, 18-29."
"placentalia","boreoeutheria","rodentia","cricetidae","arvicolinae","myodini","imaizumii","","craseomys","400000091","Craseomys imaizumii","will be maintained as a distinct species until further studies are done to prove otherwise","Kohli, B. A., Speer, K. A., Kilpatrick, C. W., Batsaikhan, N., Damdinbaza, D., & Cook, J. A. (2014). Multilocus systematics and non-punctuated evolution of Holarctic Myodini (Rodentia: Arvicolinae). Molecular phylogenetics and evolution, 76, 18-29.;Abramson, N.I., Lissovsky, A.A., 2012. Subfamily Arvicolinae. In: Pavlinov, I.Y.,Lissovsky, A.A. (Eds.), The Mammals of Russia: A Taxonomic and Geographic Reference. KMK Scientific Press, Moscow, pp. 220–276.).","false","false","","false","","","","","","","","","","","","","true","Myodes imaizumii"," tolookup","Kohli, B. A., Speer, K. A., Kilpatrick, C. W., Batsaikhan, N., Damdinbaza, D., & Cook, J. A. (2014). Multilocus systematics and non-punctuated evolution of Holarctic Myodini (Rodentia: Arvicolinae). Molecular phylogenetics and evolution, 76, 18-29."
