"id","species_authority","canonical_sciname","image","notes","authority_year","parens_auth_genus","internal_id","major_type","genus","taxon_author","parens_auth_species","genus_authority","deprecated_scientific","subspecies","simple_linnean_group","linnean_order","source","species","taxon_credit","taxon_credit_date","common_name","major_subtype","linnean_family","simple_linnean_subgroup"
"3412","","Nycticebus javanicus","","","","0","39761","boreoeutheria","nycticebus","","0","","","","eutheria","primates","iucn","javanicus","","","","euarchontoglires","lorisidae","primates"
"3413","","Nycticebus kayan","","","","0","100000247","boreoeutheria","nycticebus","","0","","","","eutheria","primates","newsp","kayan","","","","euarchontoglires","lorisidae","primates"
"3414","","Nycticebus menagensis","","","","0","39760","boreoeutheria","nycticebus","","0","","","","eutheria","primates","iucn","menagensis","","","","euarchontoglires","lorisidae","primates"
"3415","","Nycticebus pygmaeus","","","","0","14941","boreoeutheria","nycticebus","","0","","","","eutheria","primates","iucn","pygmaeus","","","","euarchontoglires","lorisidae","primates"
"3416","","Perodicticus potto","","","","0","16629","boreoeutheria","perodicticus","","0","","","","eutheria","primates","iucn","potto","","","","euarchontoglires","lorisidae","primates"
"3417","","Megaladapis edwardsi","","","","0","300000021","boreoeutheria","megaladapis","","0","","","","eutheria","primates","newspext","edwardsi","","","","euarchontoglires","megaladapidae","primates"
"3418","","Palaeopropithecus ingens","","","","0","136532","boreoeutheria","palaeopropithecus","","0","","","","eutheria","primates","iucn","ingens","","","","euarchontoglires","palaeopropithecidae","primates"
"3419","","Cacajao ayresi","","","","0","136419","boreoeutheria","cacajao","","0","","","","eutheria","primates","iucn","ayresi","","","","euarchontoglires","pitheciidae","primates"
"3420","","Cacajao calvus","","","","0","3416","boreoeutheria","cacajao","","0","","","","eutheria","primates","iucn","calvus","","","","euarchontoglires","pitheciidae","primates"
"3421","","Cacajao hosomi","","","","0","136640","boreoeutheria","cacajao","","0","","","","eutheria","primates","iucn","hosomi","","","","euarchontoglires","pitheciidae","primates"
"3422","","Cacajao melanocephalus","","","","0","3417","boreoeutheria","cacajao","","0","","","","eutheria","primates","iucn","melanocephalus","","","","euarchontoglires","pitheciidae","primates"
"3423","","Callicebus aureipalatii","","","","0","136815","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","aureipalatii","","","","euarchontoglires","pitheciidae","primates"
"3424","","Callicebus baptista","","","","0","41560","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","baptista","","","","euarchontoglires","pitheciidae","primates"
"3425","","Callicebus barbarabrownae","","","","0","39929","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","barbarabrownae","","","","euarchontoglires","pitheciidae","primates"
"3426","","Callicebus bernhardi","","","","0","41561","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","bernhardi","","","","euarchontoglires","pitheciidae","primates"
"3427","","Callicebus brunneus","","","","0","41558","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","brunneus","","","","euarchontoglires","pitheciidae","primates"
"3428","","Callicebus caligatus","","","","0","41552","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","caligatus","","","","euarchontoglires","pitheciidae","primates"
"3429","","Callicebus caquetensis","","","","0","14699281","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","caquetensis","","","","euarchontoglires","pitheciidae","primates"
"3430","","Callicebus cinerascens","","","","0","41557","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","cinerascens","","","","euarchontoglires","pitheciidae","primates"
"3431","","Callicebus coimbrai","","","","0","39954","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","coimbrai","","","","euarchontoglires","pitheciidae","primates"
"3432","","Callicebus cupreus","","","","0","41551","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","cupreus","","","","euarchontoglires","pitheciidae","primates"
"3433","","Callicebus discolor","","","","0","41553","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","discolor","","","","euarchontoglires","pitheciidae","primates"
"3434","","Callicebus donacophilus","","","","0","41548","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","donacophilus","","","","euarchontoglires","pitheciidae","primates"
"3435","","Callicebus dubius","","","","0","3549","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","dubius","","","","euarchontoglires","pitheciidae","primates"
"3436","","Callicebus hoffmannsi","","","","0","41559","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","hoffmannsi","","","","euarchontoglires","pitheciidae","primates"
"3437","","Callicebus lucifer","","","","0","41564","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","lucifer","","","","euarchontoglires","pitheciidae","primates"
"3438","","Callicebus lugens","","","","0","41563","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","lugens","","","","euarchontoglires","pitheciidae","primates"
"3439","","Callicebus medemi","","","","0","39944","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","medemi","","","","euarchontoglires","pitheciidae","primates"
"3440","","Callicebus melanochir","","","","0","39930","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","melanochir","","","","euarchontoglires","pitheciidae","primates"
"3441","","Callicebus miltoni","","","","0","100000033","boreoeutheria","callicebus","","0","","","","eutheria","primates","newsp","miltoni","","","","euarchontoglires","pitheciidae","primates"
"3442","","Callicebus modestus","","","","0","41550","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","modestus","","","","euarchontoglires","pitheciidae","primates"
"3443","","Callicebus moloch","","","","0","41556","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","moloch","","","","euarchontoglires","pitheciidae","primates"
"3444","","Callicebus nigrifrons","","","","0","39943","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","nigrifrons","","","","euarchontoglires","pitheciidae","primates"
"3445","","Callicebus oenanthe","","","","0","3553","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","oenanthe","","","","euarchontoglires","pitheciidae","primates"
"3446","","Callicebus olallae","","","","0","3554","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","olallae","","","","euarchontoglires","pitheciidae","primates"
"3447","","Callicebus ornatus","","","","0","39928","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","ornatus","","","","euarchontoglires","pitheciidae","primates"
"3448","","Callicebus pallescens","","","","0","41549","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","pallescens","","","","euarchontoglires","pitheciidae","primates"
"3449","","Callicebus personatus","","","","0","3555","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","personatus","","","","euarchontoglires","pitheciidae","primates"
"3450","","Callicebus purinus","","","","0","41565","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","purinus","","","","euarchontoglires","pitheciidae","primates"
"3451","","Callicebus regulus","","","","0","41566","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","regulus","","","","euarchontoglires","pitheciidae","primates"
"3452","","Callicebus stephennashi","","","","0","41555","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","stephennashi","","","","euarchontoglires","pitheciidae","primates"
"3453","","Callicebus torquatus","","","","0","41562","boreoeutheria","callicebus","","0","","","","eutheria","primates","iucn","torquatus","","","","euarchontoglires","pitheciidae","primates"
"3454","","Callicebus urubambensis","","","","0","100000034","boreoeutheria","callicebus","","0","","","","eutheria","primates","newsp","urubambensis","","","","euarchontoglires","pitheciidae","primates"
"3455","","Callicebus vieirai","","","","0","100000035","boreoeutheria","callicebus","","0","","","","eutheria","primates","newsp","vieirai","","","","euarchontoglires","pitheciidae","primates"
"3456","","Chiropotes albinasus","","","","0","4685","boreoeutheria","chiropotes","","0","","","","eutheria","primates","iucn","albinasus","","","","euarchontoglires","pitheciidae","primates"
"3457","","Chiropotes chiropotes","","","","0","43891","boreoeutheria","chiropotes","","0","","","","eutheria","primates","iucn","chiropotes","","","","euarchontoglires","pitheciidae","primates"
"3458","","Chiropotes satanas","","","","0","39956","boreoeutheria","chiropotes","","0","","","","eutheria","primates","iucn","satanas","","","","euarchontoglires","pitheciidae","primates"
"3459","","Chiropotes utahickae","","","","0","43892","boreoeutheria","chiropotes","","0","","","","eutheria","primates","iucn","utahickae","","","","euarchontoglires","pitheciidae","primates"
"3460","","Pithecia aequatorialis","","","","0","17402","boreoeutheria","pithecia","","0","","","","eutheria","primates","iucn","aequatorialis","","","","euarchontoglires","pitheciidae","primates"
"3461","","Pithecia albicans","","","","0","41567","boreoeutheria","pithecia","","0","","","","eutheria","primates","iucn","albicans","","","","euarchontoglires","pitheciidae","primates"
"3462","","Pithecia cazuzai","","","","0","100000279","boreoeutheria","pithecia","","0","","","","eutheria","primates","newsp","cazuzai","","","","euarchontoglires","pitheciidae","primates"
"3463","","Pithecia chrysocephala","","","","0","100000280","boreoeutheria","pithecia","","0","","","","eutheria","primates","newsp","chrysocephala","","","","euarchontoglires","pitheciidae","primates"
"3464","","Pithecia hirsuta","","","","0","100000281","boreoeutheria","pithecia","","0","","","","eutheria","primates","newsp","hirsuta","","","","euarchontoglires","pitheciidae","primates"
"3465","","Pithecia insuta","","","","0","100000282","boreoeutheria","pithecia","","0","","","","eutheria","primates","newsp","insuta","","","","euarchontoglires","pitheciidae","primates"
"3466","","Pithecia irrorata","","","","0","41568","boreoeutheria","pithecia","","0","","","","eutheria","primates","iucn","irrorata","","","","euarchontoglires","pitheciidae","primates"
"3467","","Pithecia isabela","","","","0","100000283","boreoeutheria","pithecia","","0","","","","eutheria","primates","newsp","isabela","","","","euarchontoglires","pitheciidae","primates"
"3468","","Pithecia milleri","","","","0","100000284","boreoeutheria","pithecia","","0","","","","eutheria","primates","newsp","milleri","","","","euarchontoglires","pitheciidae","primates"
"3469","","Pithecia mittermeieri","","","","0","100000285","boreoeutheria","pithecia","","0","","","","eutheria","primates","newsp","mittermeieri","","","","euarchontoglires","pitheciidae","primates"
"3470","","Pithecia monachus","","","","0","39985","boreoeutheria","pithecia","","0","","","","eutheria","primates","iucn","monachus","","","","euarchontoglires","pitheciidae","primates"
"3471","","Pithecia napensis","","","","0","100000286","boreoeutheria","pithecia","","0","","","","eutheria","primates","newsp","napensis","","","","euarchontoglires","pitheciidae","primates"
"3472","","Pithecia pissinattii","","","","0","100000287","boreoeutheria","pithecia","","0","","","","eutheria","primates","newsp","pissinattii","","","","euarchontoglires","pitheciidae","primates"
"3473","","Pithecia pithecia","","","","0","41569","boreoeutheria","pithecia","","0","","","","eutheria","primates","iucn","pithecia","","","","euarchontoglires","pitheciidae","primates"
"3474","","Pithecia rylandsi","","","","0","100000288","boreoeutheria","pithecia","","0","","","","eutheria","primates","newsp","rylandsi","","","","euarchontoglires","pitheciidae","primates"
"3475","","Pithecia vanzolinii","","","","0","100000289","boreoeutheria","pithecia","","0","","","","eutheria","primates","newsp","vanzolinii","","","","euarchontoglires","pitheciidae","primates"
"3476","","Xenothrix mcgregori","","","","0","136515","boreoeutheria","xenothrix","","0","","","","eutheria","primates","iucn","mcgregori","","","","euarchontoglires","pitheciidae","primates"
"3477","","Tarsius bancanus","","","","0","21488","boreoeutheria","tarsius","","0","","","","eutheria","primates","iucn","bancanus","","","","euarchontoglires","tarsiidae","primates"
"3478","","Tarsius dentatus","","","","0","21489","boreoeutheria","tarsius","","0","","","","eutheria","primates","iucn","dentatus","","","","euarchontoglires","tarsiidae","primates"
"3479","","Tarsius lariang","","","","0","136319","boreoeutheria","tarsius","","0","","","","eutheria","primates","iucn","lariang","","","","euarchontoglires","tarsiidae","primates"
"3480","","Tarsius pelengensis","","","","0","21494","boreoeutheria","tarsius","","0","","","","eutheria","primates","iucn","pelengensis","","","","euarchontoglires","tarsiidae","primates"
"3481","","Tarsius pumilus","","","","0","21490","boreoeutheria","tarsius","","0","","","","eutheria","primates","iucn","pumilus","","","","euarchontoglires","tarsiidae","primates"
"3482","","Tarsius sangirensis","","","","0","21493","boreoeutheria","tarsius","","0","","","","eutheria","primates","iucn","sangirensis","","","","euarchontoglires","tarsiidae","primates"
"3483","","Tarsius syrichta","","","","0","21492","boreoeutheria","tarsius","","0","","","","eutheria","primates","iucn","syrichta","","","","euarchontoglires","tarsiidae","primates"
"3484","","Tarsius tarsier","","","","0","21491","boreoeutheria","tarsius","","0","","","","eutheria","primates","iucn","tarsier","","","","euarchontoglires","tarsiidae","primates"
"3485","","Tarsius tumpara","","","","0","179234","boreoeutheria","tarsius","","0","","","","eutheria","primates","iucn","tumpara","","","","euarchontoglires","tarsiidae","primates"
"3486","","Tarsius wallacei","","","","0","195277","boreoeutheria","tarsius","","0","","","","eutheria","primates","iucn","wallacei","","","","euarchontoglires","tarsiidae","primates"
"3487","","Elephas antiquus","","","","0","300000006","atlantogenata","elephas","","0","","","","eutheria","proboscidea","newspext","antiquus","","","","afrotheria","elephantidae","elephants"
"3488","","Elephas cypriotes","","","","0","300000007","atlantogenata","elephas","","0","","","","eutheria","proboscidea","newspext","cypriotes","","","","afrotheria","elephantidae","elephants"
"3489","","Elephas maximus","","","","0","7140","atlantogenata","elephas","","0","","","","eutheria","proboscidea","iucn","maximus","","","","afrotheria","elephantidae","elephants"
"3490","","Loxodonta africana","","","","0","12392","atlantogenata","loxodonta","","0","","","","eutheria","proboscidea","iucn","africana","","","","afrotheria","elephantidae","elephants"
"3491","","Mammut americanum","","","","0","300000018","atlantogenata","mammut","","0","","","","eutheria","proboscidea","newspext","americanum","","","","afrotheria","mammutidae","elephants"
"3492","","Mammuthus columbi","","","","0","300000019","atlantogenata","mammuthus","","0","","","","eutheria","proboscidea","newspext","columbi","","","","afrotheria","mammutidae","elephants"
"3493","","Mammuthus primigenius","","","","0","300000020","atlantogenata","mammuthus","","0","","","","eutheria","proboscidea","newspext","primigenius","","","","afrotheria","mammutidae","elephants"
"3494","","Abrocoma bennettii","","","","0","42656","boreoeutheria","abrocoma","","0","","","","eutheria","rodentia","iucn","bennettii","","","","euarchontoglires","abrocomidae","rodents"
"3495","","Abrocoma boliviensis","","","","0","18","boreoeutheria","abrocoma","","0","","","","eutheria","rodentia","iucn","boliviensis","","","","euarchontoglires","abrocomidae","rodents"
"3496","","Abrocoma budini","","","","0","136334","boreoeutheria","abrocoma","","0","","","","eutheria","rodentia","iucn","budini","","","","euarchontoglires","abrocomidae","rodents"
"3497","","Abrocoma cinerea","","","","0","42657","boreoeutheria","abrocoma","","0","","","","eutheria","rodentia","iucn","cinerea","","","","euarchontoglires","abrocomidae","rodents"
"3498","","Abrocoma famatina","","","","0","136367","boreoeutheria","abrocoma","","0","","","","eutheria","rodentia","iucn","famatina","","","","euarchontoglires","abrocomidae","rodents"
"3499","","Abrocoma shistacea","","","","0","136525","boreoeutheria","abrocoma","","0","","","","eutheria","rodentia","iucn","shistacea","","","","euarchontoglires","abrocomidae","rodents"
"3500","","Abrocoma uspallata","","","","0","136302","boreoeutheria","abrocoma","","0","","","","eutheria","rodentia","iucn","uspallata","","","","euarchontoglires","abrocomidae","rodents"
"3501","","Abrocoma vaccarum","","","","0","136546","boreoeutheria","abrocoma","","0","","","","eutheria","rodentia","iucn","vaccarum","","","","euarchontoglires","abrocomidae","rodents"
"3502","","Cuscomys ashaninka","","","","0","136466","boreoeutheria","cuscomys","","0","","","","eutheria","rodentia","iucn","ashaninka","","","","euarchontoglires","abrocomidae","rodents"
"3503","","Cuscomys oblativa","","","","0","136658","boreoeutheria","cuscomys","","0","","","","eutheria","rodentia","iucn","oblativa","","","","euarchontoglires","abrocomidae","rodents"
"3504","","Anomalurus beecrofti","","","","0","44857","boreoeutheria","anomalurus","","0","","","","eutheria","rodentia","iucn","beecrofti","","","","euarchontoglires","anomaluridae","rodents"
"3505","","Anomalurus derbianus","","","","0","1550","boreoeutheria","anomalurus","","0","","","","eutheria","rodentia","iucn","derbianus","","","","euarchontoglires","anomaluridae","rodents"
"3506","","Anomalurus pelii","","","","0","1551","boreoeutheria","anomalurus","","0","","","","eutheria","rodentia","iucn","pelii","","","","euarchontoglires","anomaluridae","rodents"
"3507","","Anomalurus pusillus","","","","0","1553","boreoeutheria","anomalurus","","0","","","","eutheria","rodentia","iucn","pusillus","","","","euarchontoglires","anomaluridae","rodents"
"3508","","Idiurus macrotis","","","","0","10794","boreoeutheria","idiurus","","0","","","","eutheria","rodentia","iucn","macrotis","","","","euarchontoglires","anomaluridae","rodents"
"3509","","Idiurus zenkeri","","","","0","10796","boreoeutheria","idiurus","","0","","","","eutheria","rodentia","iucn","zenkeri","","","","euarchontoglires","anomaluridae","rodents"
"3510","","Zenkerella insignis","","","","0","23204","boreoeutheria","zenkerella","","0","","","","eutheria","rodentia","iucn","insignis","","","","euarchontoglires","anomaluridae","rodents"
"3511","","Aplodontia rufa","","","","0","1869","boreoeutheria","aplodontia","","0","","","","eutheria","rodentia","iucn","rufa","","","","euarchontoglires","aplodontiidae","rodents"
"3512","","Bathyergus janetta","","","","0","2619","boreoeutheria","bathyergus","","0","","","","eutheria","rodentia","iucn","janetta","","","","euarchontoglires","bathyergidae","rodents"
"3513","","Bathyergus suillus","","","","0","2620","boreoeutheria","bathyergus","","0","","","","eutheria","rodentia","iucn","suillus","","","","euarchontoglires","bathyergidae","rodents"
"3514","","Cryptomys hottentotus","","","","0","5755","boreoeutheria","cryptomys","","0","","","","eutheria","rodentia","iucn","hottentotus","","","","euarchontoglires","bathyergidae","rodents"
"3515","","Fukomys amatus","","","","0","100000107","boreoeutheria","fukomys","","0","","","","eutheria","rodentia","newsp","amatus","","","","euarchontoglires","bathyergidae","rodents"
"3516","","Fukomys anselli","","","","0","44858","boreoeutheria","fukomys","","0","","","","eutheria","rodentia","iucn","anselli","","","","euarchontoglires","bathyergidae","rodents"
"3517","","Fukomys bocagei","","","","0","5752","boreoeutheria","fukomys","","0","","","","eutheria","rodentia","iucn","bocagei","","","","euarchontoglires","bathyergidae","rodents"
"3518","","Fukomys damarensis","","","","0","5753","boreoeutheria","fukomys","","0","","","","eutheria","rodentia","iucn","damarensis","","","","euarchontoglires","bathyergidae","rodents"
"3519","","Fukomys darlingi","","","","0","44860","boreoeutheria","fukomys","","0","","","","eutheria","rodentia","iucn","darlingi","","","","euarchontoglires","bathyergidae","rodents"
"3520","","Fukomys foxi","","","","0","5754","boreoeutheria","fukomys","","0","","","","eutheria","rodentia","iucn","foxi","","","","euarchontoglires","bathyergidae","rodents"
"3521","","Fukomys ilariae","","","","0","100000108","boreoeutheria","fukomys","","0","","","","eutheria","rodentia","newsp","ilariae","","","","euarchontoglires","bathyergidae","rodents"
"3522","","Fukomys kafuensis","","","","0","44861","boreoeutheria","fukomys","","0","","","","eutheria","rodentia","iucn","kafuensis","","","","euarchontoglires","bathyergidae","rodents"
"3523","","Fukomys mechowi","","","","0","5756","boreoeutheria","fukomys","","0","","","","eutheria","rodentia","iucn","mechowi","","","","euarchontoglires","bathyergidae","rodents"
"3524","","Fukomys micklemi","","","","0","100000109","boreoeutheria","fukomys","","0","","","","eutheria","rodentia","newsp","micklemi","","","","euarchontoglires","bathyergidae","rodents"
"3525","","Fukomys ochraceocinereus","","","","0","5757","boreoeutheria","fukomys","","0","","","","eutheria","rodentia","iucn","ochraceocinereus","","","","euarchontoglires","bathyergidae","rodents"
"3526","","Fukomys vandewoestijneae","","","","0","100000110","boreoeutheria","fukomys","","0","","","","eutheria","rodentia","newsp","vandewoestijneae","","","","euarchontoglires","bathyergidae","rodents"
"3527","","Fukomys whytei","","","","0","100000111","boreoeutheria","fukomys","","0","","","","eutheria","rodentia","newsp","whytei","","","","euarchontoglires","bathyergidae","rodents"
"3528","","Fukomys zechi","","","","0","5751","boreoeutheria","fukomys","","0","","","","eutheria","rodentia","iucn","zechi","","","","euarchontoglires","bathyergidae","rodents"
"3529","","Georychus capensis","","","","0","9077","boreoeutheria","georychus","","0","","","","eutheria","rodentia","iucn","capensis","","","","euarchontoglires","bathyergidae","rodents"
"3530","","Heliophobius argenteocinereus","","","","0","9828","boreoeutheria","heliophobius","","0","","","","eutheria","rodentia","iucn","argenteocinereus","","","","euarchontoglires","bathyergidae","rodents"
"3531","","Calomyscus bailwardi","","","","0","3618","boreoeutheria","calomyscus","","0","","","","eutheria","rodentia","iucn","bailwardi","","","","euarchontoglires","calomyscidae","rodents"
"3532","","Calomyscus baluchi","","","","0","3619","boreoeutheria","calomyscus","","0","","","","eutheria","rodentia","iucn","baluchi","","","","euarchontoglires","calomyscidae","rodents"
"3533","","Calomyscus elburzensis","","","","0","136377","boreoeutheria","calomyscus","","0","","","","eutheria","rodentia","iucn","elburzensis","","","","euarchontoglires","calomyscidae","rodents"
"3534","","Calomyscus grandis","","","","0","136252","boreoeutheria","calomyscus","","0","","","","eutheria","rodentia","iucn","grandis","","","","euarchontoglires","calomyscidae","rodents"
"3535","","Calomyscus hotsoni","","","","0","3620","boreoeutheria","calomyscus","","0","","","","eutheria","rodentia","iucn","hotsoni","","","","euarchontoglires","calomyscidae","rodents"
"3536","","Calomyscus mystax","","","","0","3621","boreoeutheria","calomyscus","","0","","","","eutheria","rodentia","iucn","mystax","","","","euarchontoglires","calomyscidae","rodents"
"3537","","Calomyscus tsolovi","","","","0","3622","boreoeutheria","calomyscus","","0","","","","eutheria","rodentia","iucn","tsolovi","","","","euarchontoglires","calomyscidae","rodents"
"3538","","Calomyscus urartensis","","","","0","3623","boreoeutheria","calomyscus","","0","","","","eutheria","rodentia","iucn","urartensis","","","","euarchontoglires","calomyscidae","rodents"
"3539","","Capromys pilorides","","","","0","3842","boreoeutheria","capromys","","0","","","","eutheria","rodentia","iucn","pilorides","","","","euarchontoglires","capromyidae","rodents"
"3540","","Geocapromys brownii","","","","0","9001","boreoeutheria","geocapromys","","0","","","","eutheria","rodentia","iucn","brownii","","","","euarchontoglires","capromyidae","rodents"
"3541","","Geocapromys columbianus","","","","0","9004","boreoeutheria","geocapromys","","0","","","","eutheria","rodentia","iucn","columbianus","","","","euarchontoglires","capromyidae","rodents"
"3542","","Geocapromys ingrahami","","","","0","9002","boreoeutheria","geocapromys","","0","","","","eutheria","rodentia","iucn","ingrahami","","","","euarchontoglires","capromyidae","rodents"
"3543","","Geocapromys thoracatus","","","","0","9003","boreoeutheria","geocapromys","","0","","","","eutheria","rodentia","iucn","thoracatus","","","","euarchontoglires","capromyidae","rodents"
"3544","","Hexolobodon phenax","","","","0","10034","boreoeutheria","hexolobodon","","0","","","","eutheria","rodentia","iucn","phenax","","","","euarchontoglires","capromyidae","rodents"
"3545","","Isolobodon montanus","","","","0","10859","boreoeutheria","isolobodon","","0","","","","eutheria","rodentia","iucn","montanus","","","","euarchontoglires","capromyidae","rodents"
"3546","","Isolobodon portoricensis","","","","0","10860","boreoeutheria","isolobodon","","0","","","","eutheria","rodentia","iucn","portoricensis","","","","euarchontoglires","capromyidae","rodents"
"3547","","Mesocapromys angelcabrerai","","","","0","13215","boreoeutheria","mesocapromys","","0","","","","eutheria","rodentia","iucn","angelcabrerai","","","","euarchontoglires","capromyidae","rodents"
"3548","","Mesocapromys auritus","","","","0","13216","boreoeutheria","mesocapromys","","0","","","","eutheria","rodentia","iucn","auritus","","","","euarchontoglires","capromyidae","rodents"
"3549","","Mesocapromys melanurus","","","","0","14256","boreoeutheria","mesocapromys","","0","","","","eutheria","rodentia","iucn","melanurus","","","","euarchontoglires","capromyidae","rodents"
"3550","","Mesocapromys nanus","","","","0","13217","boreoeutheria","mesocapromys","","0","","","","eutheria","rodentia","iucn","nanus","","","","euarchontoglires","capromyidae","rodents"
"3551","","Mesocapromys sanfelipensis","","","","0","13218","boreoeutheria","mesocapromys","","0","","","","eutheria","rodentia","iucn","sanfelipensis","","","","euarchontoglires","capromyidae","rodents"
"3552","","Mysateles garridoi","","","","0","14254","boreoeutheria","mysateles","","0","","","","eutheria","rodentia","iucn","garridoi","","","","euarchontoglires","capromyidae","rodents"
"3553","","Mysateles gundlachi","","","","0","14255","boreoeutheria","mysateles","","0","","","","eutheria","rodentia","iucn","gundlachi","","","","euarchontoglires","capromyidae","rodents"
"3554","","Mysateles meridionalis","","","","0","14257","boreoeutheria","mysateles","","0","","","","eutheria","rodentia","iucn","meridionalis","","","","euarchontoglires","capromyidae","rodents"
"3555","","Mysateles prehensilis","","","","0","14258","boreoeutheria","mysateles","","0","","","","eutheria","rodentia","iucn","prehensilis","","","","euarchontoglires","capromyidae","rodents"
"3556","","Plagiodontia aedium","","","","0","17460","boreoeutheria","plagiodontia","","0","","","","eutheria","rodentia","iucn","aedium","","","","euarchontoglires","capromyidae","rodents"
"3557","","Plagiodontia ipnaeum","","","","0","17462","boreoeutheria","plagiodontia","","0","","","","eutheria","rodentia","iucn","ipnaeum","","","","euarchontoglires","capromyidae","rodents"
"3558","","Castor canadensis","","","","0","4003","boreoeutheria","castor","","0","","","","eutheria","rodentia","iucn","canadensis","","","","euarchontoglires","castoridae","rodents"
"3559","","Castor fiber","","","","0","4007","boreoeutheria","castor","","0","","","","eutheria","rodentia","iucn","fiber","","","","euarchontoglires","castoridae","rodents"
"3560","","Cavia aperea","","","","0","4064","boreoeutheria","cavia","","0","","","","eutheria","rodentia","iucn","aperea","","","","euarchontoglires","caviidae","rodents"
"3561","","Cavia fulgida","","","","0","4065","boreoeutheria","cavia","","0","","","","eutheria","rodentia","iucn","fulgida","","","","euarchontoglires","caviidae","rodents"
"3562","","Cavia intermedia","","","","0","136520","boreoeutheria","cavia","","0","","","","eutheria","rodentia","iucn","intermedia","","","","euarchontoglires","caviidae","rodents"
"3563","","Cavia magna","","","","0","4066","boreoeutheria","cavia","","0","","","","eutheria","rodentia","iucn","magna","","","","euarchontoglires","caviidae","rodents"
"3564","","Cavia patzelti","","","","0","100000040","boreoeutheria","cavia","","0","","","","eutheria","rodentia","newsp","patzelti","","","","euarchontoglires","caviidae","rodents"
"3565","","Cavia porcellus","","","","0","200000008","boreoeutheria","cavia","","0","","","","eutheria","rodentia","newspdom","porcellus","","","","euarchontoglires","caviidae","rodents"
"3566","","Cavia tschudii","","","","0","4068","boreoeutheria","cavia","","0","","","","eutheria","rodentia","iucn","tschudii","","","","euarchontoglires","caviidae","rodents"
"3567","","Dolichotis patagonum","","","","0","6785","boreoeutheria","dolichotis","","0","","","","eutheria","rodentia","iucn","patagonum","","","","euarchontoglires","caviidae","rodents"
"3568","","Dolichotis salinicola","","","","0","6786","boreoeutheria","dolichotis","","0","","","","eutheria","rodentia","iucn","salinicola","","","","euarchontoglires","caviidae","rodents"
"3569","","Galea flavidens","","","","0","8823","boreoeutheria","galea","","0","","","","eutheria","rodentia","iucn","flavidens","","","","euarchontoglires","caviidae","rodents"
"3570","","Galea monasteriensis","","","","0","136748","boreoeutheria","galea","","0","","","","eutheria","rodentia","iucn","monasteriensis","","","","euarchontoglires","caviidae","rodents"
"3571","","Galea musteloides","","","","0","8824","boreoeutheria","galea","","0","","","","eutheria","rodentia","iucn","musteloides","","","","euarchontoglires","caviidae","rodents"
"3572","","Galea spixii","","","","0","8825","boreoeutheria","galea","","0","","","","eutheria","rodentia","iucn","spixii","","","","euarchontoglires","caviidae","rodents"
"3573","","Hydrochoerus hydrochaeris","","","","0","10300","boreoeutheria","hydrochoerus","","0","","","","eutheria","rodentia","iucn","hydrochaeris","","","","euarchontoglires","caviidae","rodents"
"3574","","Hydrochoerus isthmius","","","","0","136277","boreoeutheria","hydrochoerus","","0","","","","eutheria","rodentia","iucn","isthmius","","","","euarchontoglires","caviidae","rodents"
"3575","","Kerodon acrobata","","","","0","136222","boreoeutheria","kerodon","","0","","","","eutheria","rodentia","iucn","acrobata","","","","euarchontoglires","caviidae","rodents"
"3576","","Kerodon rupestris","","","","0","10988","boreoeutheria","kerodon","","0","","","","eutheria","rodentia","iucn","rupestris","","","","euarchontoglires","caviidae","rodents"
"3577","","Microcavia australis","","","","0","13319","boreoeutheria","microcavia","","0","","","","eutheria","rodentia","iucn","australis","","","","euarchontoglires","caviidae","rodents"
