"id","species_authority","canonical_sciname","image","notes","authority_year","parens_auth_genus","internal_id","major_type","genus","taxon_author","parens_auth_species","genus_authority","deprecated_scientific","subspecies","simple_linnean_group","linnean_order","source","species","taxon_credit","taxon_credit_date","common_name","major_subtype","linnean_family","simple_linnean_subgroup"
"62","","Balaenoptera bonaerensis","","","","0","2480","","balaenoptera","","0","","","","eutheria","artiodactyla","iucn","bonaerensis","","","","","balaenopteridae","whales / dolphins"
"63","","Balaenoptera borealis","","","","0","2475","","balaenoptera","","0","","","","eutheria","artiodactyla","iucn","borealis","","","","","balaenopteridae","whales / dolphins"
"64","","Balaenoptera edeni","","","","0","2476","","balaenoptera","","0","","","","eutheria","artiodactyla","iucn","edeni","","","","","balaenopteridae","whales / dolphins"
"65","","Balaenoptera musculus","","","","0","2477","","balaenoptera","","0","","","","eutheria","artiodactyla","iucn","musculus","","","","","balaenopteridae","whales / dolphins"
"66","","Balaenoptera omurai","","","","0","136623","","balaenoptera","","0","","","","eutheria","artiodactyla","iucn","omurai","","","","","balaenopteridae","whales / dolphins"
"67","","Balaenoptera physalus","","","","0","2478","","balaenoptera","","0","","","","eutheria","artiodactyla","iucn","physalus","","","","","balaenopteridae","whales / dolphins"
"68","","Megaptera novaeangliae","","","","0","13006","","megaptera","","0","","","","eutheria","artiodactyla","iucn","novaeangliae","","","","","balaenopteridae","whales / dolphins"
"69","","Addax nasomaculatus","","","","0","512","","addax","","0","","","","eutheria","artiodactyla","iucn","nasomaculatus","","","","","bovidae","cervoid ruminants"
"70","","Aepyceros melampus","","","","0","550","","aepyceros","","0","","","","eutheria","artiodactyla","iucn","melampus","","","","","bovidae","cervoid ruminants"
"71","","Alcelaphus buselaphus","","","","0","811","","alcelaphus","","0","","","","eutheria","artiodactyla","iucn","buselaphus","","","","","bovidae","cervoid ruminants"
"72","","Ammodorcas clarkei","","","","0","1141","","ammodorcas","","0","","","","eutheria","artiodactyla","iucn","clarkei","","","","","bovidae","cervoid ruminants"
"73","","Ammotragus lervia","","","","0","1151","","ammotragus","","0","","","","eutheria","artiodactyla","iucn","lervia","","","","","bovidae","cervoid ruminants"
"74","","Antidorcas marsupialis","","","","0","1676","","antidorcas","","0","","","","eutheria","artiodactyla","iucn","marsupialis","","","","","bovidae","cervoid ruminants"
"75","","Antilope cervicapra","","","","0","1681","","antilope","","0","","","","eutheria","artiodactyla","iucn","cervicapra","","","","","bovidae","cervoid ruminants"
"76","","Arabitragus jayakari","","","","0","9918","","arabitragus","","0","","","","eutheria","artiodactyla","iucn","jayakari","","","","","bovidae","cervoid ruminants"
"77","","Beatragus hunteri","","","","0","6234","","beatragus","","0","","","","eutheria","artiodactyla","iucn","hunteri","","","","","bovidae","cervoid ruminants"
"78","","Bison bison","","","","0","2815","","bison","","0","","","","eutheria","artiodactyla","iucn","bison","","","","","bovidae","cervoid ruminants"
"79","","Bison bonasus","","","","0","2814","","bison","","0","","","","eutheria","artiodactyla","iucn","bonasus","","","","","bovidae","cervoid ruminants"
"80","","Bos frontalis","","","","0","200000001","","bos","","0","","","","eutheria","artiodactyla","newspdom","frontalis","","","","","bovidae","cervoid ruminants"
"81","","Bos gaurus","","","","0","2891","","bos","","0","","","","eutheria","artiodactyla","iucn","gaurus","","","","","bovidae","cervoid ruminants"
"82","","Bos grunniens","","","","0","200000002","","bos","","0","","","","eutheria","artiodactyla","newspdom","grunniens","","","","","bovidae","cervoid ruminants"
"83","","Bos indicus","","","","0","200000003","","bos","","0","","","","eutheria","artiodactyla","newspdom","indicus","","","","","bovidae","cervoid ruminants"
"84","","Bos javanicus","","","","0","2888","","bos","","0","","","","eutheria","artiodactyla","iucn","javanicus","","","","","bovidae","cervoid ruminants"
"85","","Bos mutus","","","","0","2892","","bos","","0","","","","eutheria","artiodactyla","iucn","mutus","","","","","bovidae","cervoid ruminants"
"86","","Bos primigenius","","","","0","136721","","bos","","0","","","","eutheria","artiodactyla","iucn","primigenius","","","","","bovidae","cervoid ruminants"
"87","","Bos sauveli","","","","0","2890","","bos","","0","","","","eutheria","artiodactyla","iucn","sauveli","","","","","bovidae","cervoid ruminants"
"88","","Bos taurus","","","","0","200000004","","bos","","0","","","","eutheria","artiodactyla","newspdom","taurus","","","","","bovidae","cervoid ruminants"
"89","","Boselaphus tragocamelus","","","","0","2893","","boselaphus","","0","","","","eutheria","artiodactyla","iucn","tragocamelus","","","","","bovidae","cervoid ruminants"
"90","","Bubalus arnee","","","","0","3129","","bubalus","","0","","","","eutheria","artiodactyla","iucn","arnee","","","","","bovidae","cervoid ruminants"
