canonical_sciname,id,species_authority,image,notes,authority_year,parens_auth_genus,taxon_author,parens_auth_species,genus_authority,deprecated_scientific,subspecies,source,species,taxon_credit,taxon_credit_date,common_name,citation,image_credit,image_license,entry,common_name_source,image_caption,species_authority_citation,genus_authority_citation,simple_linnean_group,simple_linnean_group_alt,major_type,major_subtype,simple_linnean_subgroup,linnean_order,linnean_family,linnean_subfamily,linnean_tribe,genus,juniorSynonym,synonymOf,TaxonomyNotes,TaxonomyNotes_Citation,extinct,geo_distribution,authority_fullcitation,authority_link,MDDv1,internal_id,newSppSinceMSW3,IfNew_category,IfNew_evidenceCitation,IfNew_evidenceAuthors,IfNew_evidenceYear,IfNew_evidenceLink,IfNew_nameCitation,IfNew_nameAuthors,IfNew_nameYear,IfNew_nameLink,genusTransfersinceMSW3,IfTransfer_oldSciName,IfTransfer_oldIUCN_ID,IfTransfer_evidenceCitation
Abrothrix sanborni,3599,Osgood,NULL,NULL,"{""1943"":1943}",0,NULL,0,Osgood,NULL,NULL,iucn,sanborni,NULL,NULL,Sanborn&#39;s Grass Mouse,NULL,NULL,NULL,NULL,iucn,NULL,NULL,NULL,eutheria,Placentalia,Placentalia,Boreoeutheria,rodents,RODENTIA,CRICETIDAE,SIGMODONTINAE,ABROTHRICHINI,Abrothrix,NO,NA,NA,NA,0,Neotropics,NA,NA,1,754,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Acerodon celebensis,1216,Peters,NULL,NULL,"{""1831"":1867}",0,NULL,0,Eschscholtz,NULL,NULL,iucn,celebensis,NULL,NULL,Sulawesi Fruit Bat,NULL,NULL,NULL,NULL,iucn,NULL,NULL,NULL,eutheria,Placentalia,Placentalia,Boreoeutheria,bats,CHIROPTERA,PTEROPODIDAE,PTEROPODINAE,NA,Acerodon,NO,NA,NA,NA,0,Australasia/Oceania,NA,NA,1,137,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Acerodon humilis,1217,K. Andersen,NULL,NULL,"{""1831"":1909}",0,NULL,0,Eschscholtz,NULL,NULL,iucn,humilis,NULL,NULL,Talaud Fruit Bat,NULL,NULL,NULL,NULL,iucn,NULL,NULL,NULL,eutheria,Placentalia,Placentalia,Boreoeutheria,bats,CHIROPTERA,PTEROPODIDAE,PTEROPODINAE,NA,Acerodon,NO,NA,NA,NA,0,Indomalayan,NA,NA,1,138,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Acerodon jubatus,1218,Eschscholtz,NULL,NULL,"{""1831"":1831}",0,NULL,0,Eschscholtz,NULL,NULL,iucn,jubatus,NULL,NULL,Golden-capped Fruit Bat,NULL,NULL,NULL,NULL,iucn,NULL,NULL,NULL,eutheria,Placentalia,Placentalia,Boreoeutheria,bats,CHIROPTERA,PTEROPODIDAE,PTEROPODINAE,NA,Acerodon,NO,NA,NA,NA,0,Indomalayan,NA,NA,1,139,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Acerodon leucotis,1219,Sanborn,NULL,NULL,"{""1831"":1950}",0,NULL,0,Eschscholtz,NULL,NULL,iucn,leucotis,NULL,NULL,Palawan Fruit Bat,NULL,NULL,NULL,NULL,iucn,NULL,NULL,NULL,eutheria,Placentalia,Placentalia,Boreoeutheria,bats,CHIROPTERA,PTEROPODIDAE,PTEROPODINAE,NA,Acerodon,NO,NA,NA,NA,0,Indomalayan,NA,NA,1,140,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Acerodon mackloti,1220,Temminck,NULL,NULL,"{""1831"":1837}",0,NULL,0,Eschscholtz,NULL,NULL,iucn,mackloti,NULL,NULL,Sunda Fruit Bat,NULL,NULL,NULL,NULL,iucn,NULL,NULL,NULL,eutheria,Placentalia,Placentalia,Boreoeutheria,bats,CHIROPTERA,PTEROPODIDAE,PTEROPODINAE,NA,Acerodon,NO,NA,NA,NA,0,"Indomalayan, Australasia/Oceania",NA,NA,1,142,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Acinonyx jubatus,453,Schreber,NULL,"4 well supported subspecies: A.j. jubatus, A.j., venaticus, A.j. hecki, A.j. soemmeringii","{""1775"":1775}",0,NULL,0,Schreber,NULL,NULL,iucn,jubatus,NULL,NULL,Cheetah,"Kitchener A. C., Breitenmoser-Wu?rsten Ch., Eizirik E., Gentry A., Werdelin L., Wilting A., Yamaguchi N., Abramov A. V., Christiansen P., Driscoll C., Duckworth J. W., Johnson W., Luo S.-J., Meijaard E., O'Donoghue P., Sanderson J., Seymour K., Bruford M., Groves C., Hoffmann M., Nowell K., Timmons Z. & Tobe S. 2017. A revised taxonomy of the Felidae. The final report of the Cat Classification Task Force of the IUCN/SSC Cat Specialist Group. Cat News Special Issue 11, 80 pp.",NULL,NULL,NULL,iucn,NULL,NULL,NULL,eutheria,Placentalia,Placentalia,Boreoeutheria,true cats,CARNIVORA,FELIDAE,FELINAE,NA,Acinonyx,NO,NA,"4 well supported subspecies: A.j. jubatus, A.j., venaticus, A.j. hecki, A.j. soemmeringii","Kitchener A. C., Breitenmoser-Würsten Ch., Eizirik E., Gentry A., Werdelin L., Wilting A., Yamaguchi N., Abramov A. V., Christiansen P., Driscoll C., Duckworth J. W., Johnson W., Luo S.-J., Meijaard E., O'Donoghue P., Sanderson J., Seymour K., Bruford M., Groves C., Hoffmann M., Nowell K., Timmons Z. & Tobe S. 2017. A revised taxonomy of the Felidae. The final report of the Cat Classification Task Force of the IUCN/SSC Cat Specialist Group. Cat News Special Issue 11, 80 pp.",0,"Afrotropical, Indomalaya, Paleartic",NA,NA,1,219,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Acomys cahirinus,4714,É. Geoffroy Saint-Hilaire,NULL,NULL,"{""1803"":1803}",0,NULL,0,É. Geoffroy Saint-Hilaire,NULL,NULL,iucn,cahirinus,NULL,NULL,Cairo Spiny Mouse,NULL,NULL,NULL,NULL,iucn,NULL,NULL,NULL,eutheria,Placentalia,Placentalia,Boreoeutheria,rodents,RODENTIA,MURIDAE,DEOMYINAE,NA,Acomys,NO,NA,NA,NA,0,"Afrotropics, Palearctic",NA,NA,1,263,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Acomys chudeaui,6062,Kollman,NULL,includes airensis,"{""1803"":1911}",0,NULL,0,É. Geoffroy Saint-Hilaire,NULL,NULL,NULL,chudeaui,NULL,NULL,NULL,"Nicolas, V., Granjon, L., DUPLANTIER, J., Cruaud, C., & Dobigny, G. (2009). Phylogeography of spiny mice (genus Acomys, Rodentia: Muridae) from the south?western margin of the Sahara with taxonomic implications. Biological Journal of the Linnean Society, 98(1), 29-46.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Placentalia,Placentalia,Boreoeutheria,rodents,RODENTIA,MURIDAE,DEOMYINAE,NA,Acomys,NO,NA,includes airensis,"Nicolas, V., Granjon, L., DUPLANTIER, J., Cruaud, C., & Dobigny, G. (2009). Phylogeography of spiny mice (genus Acomys, Rodentia: Muridae) from the south‐western margin of the Sahara with taxonomic implications. Biological Journal of the Linnean Society, 98(1), 29-46.",0,Palearctic,NA,NA,1,100000369,0,NA,"Nicolas, V., Granjon, L., DUPLANTIER, J., Cruaud, C., & Dobigny, G. (2009). Phylogeography of spiny mice (genus Acomys, Rodentia: Muridae) from the south‐western margin of the Sahara with taxonomic implications. Biological Journal of the Linnean Society, 98(1), 29-46.","Nicolas, V., Granjon, L., DUPLANTIER, J., Cruaud, C., & Dobigny, G ",2009,http://onlinelibrary.wiley.com/doi/10.1111/j.1095-8312.2009.01273.x/abstract, noneYet,Kollman,1911, noneYet,0,NA,NA,NA
Acomys cilicicus,4715,Spitzenberger,NULL,NULL,"{""1803"":1978}",0,NULL,0,É. Geoffroy Saint-Hilaire,NULL,NULL,iucn,cilicicus,NULL,NULL,Asia Minor Spiny Mouse,NULL,NULL,NULL,NULL,iucn,NULL,NULL,NULL,eutheria,Placentalia,Placentalia,Boreoeutheria,rodents,RODENTIA,MURIDAE,DEOMYINAE,NA,Acomys,NO,NA,NA,NA,0,Palearctic,NA,NA,1,264,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
