"canonical_sciname","id","species_authority","image","notes","authority_year","parens_auth_genus","taxon_author","parens_auth_species","genus_authority","deprecated_scientific","subspecies","source","species","taxon_credit","taxon_credit_date","common_name","citation","image_credit","image_license","entry","common_name_source","image_caption","species_authority_citation","genus_authority_citation","simple_linnean_group","simple_linnean_group_alt","major_type","major_subtype","simple_linnean_subgroup","linnean_order","linnean_family","linnean_subfamily","linnean_tribe","genus","juniorSynonym","synonymOf","TaxonomyNotes","TaxonomyNotes_Citation","extinct","geo_distribution","authority_fullcitation","authority_link","MDDv1","internal_id","newSppSinceMSW3","IfNew_category","IfNew_evidenceCitation","IfNew_evidenceAuthors","IfNew_evidenceYear","IfNew_evidenceLink","IfNew_nameCitation","IfNew_nameAuthors","IfNew_nameYear","IfNew_nameLink","genusTransfersinceMSW3","IfTransfer_oldSciName","IfTransfer_oldIUCN_ID","IfTransfer_evidenceCitation"
"Acomys cineraceus","4716","Heuglin","null","NULL","{""1803"":1877}","false","null","false","É. Geoffroy Saint-Hilaire","null","null","iucn","cineraceus","null","null","Gray Spiny Mouse","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","muridae","deomyinae","","acomys","false","","","","false","afrotropics","","","true","265","false","","","","","","","","","","false","NA","",""
"Acomys dimidiatus","4717","Cretzschmar","null","NULL","{""1803"":1826}","false","null","false","É. Geoffroy Saint-Hilaire","null","null","iucn","dimidiatus","null","null","Arabian Spiny Mouse","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","muridae","deomyinae","","acomys","false","","","","false","afrotropics, palearctic","","","true","136471","false","","","","","","","","","","false","NA","",""
"Acomys ignitus","4718","Dollman","null","NULL","{""1803"":1911}","false","null","false","É. Geoffroy Saint-Hilaire","null","null","iucn","ignitus","null","null","Fiery Spiny Mouse","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","muridae","deomyinae","","acomys","false","","","","false","afrotropics","","","true","266","false","","","","","","","","","","false","NA","",""
"Acomys johannis","4719","Thomas","null","NULL","{""1803"":1912}","false","null","false","É. Geoffroy Saint-Hilaire","null","null","iucn","johannis","null","null","Johan&rsquo;s Spiny Mouse","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","muridae","deomyinae","","acomys","false","","","","false","afrotropics","","","true","44938","false","","","","","","","","","","false","NA","",""
"Acomys kempi","4720","Dollman","null","NULL","{""1803"":1911}","false","null","false","É. Geoffroy Saint-Hilaire","null","null","iucn","kempi","null","null","Kemp&#39;s Spiny Mouse","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","muridae","deomyinae","","acomys","false","","","","false","afrotropics","","","true","267","false","","","","","","","","","","false","NA","",""
"Acomys louisae","4721","Thomas","null","NULL","{""1803"":1912}","false","null","false","É. Geoffroy Saint-Hilaire","null","null","iucn","louisae","null","null","Louise&#39;s Spiny Mouse","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","muridae","deomyinae","","acomys","false","","","","false","afrotropics","","","true","268","false","","","","","","","","","","false","NA","",""
"Acomys minous","4722","Bate","null","NULL","{""1803"":1903}","false","null","false","É. Geoffroy Saint-Hilaire","null","null","iucn","minous","null","null","Crete Spiny Mouse","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","muridae","deomyinae","","acomys","false","","","","false","palearctic","","","true","269","false","","","","","","","","","","false","NA","",""
"Acomys mullah","4723","Thomas","null","NULL","{""1803"":1912}","false","null","false","É. Geoffroy Saint-Hilaire","null","null","iucn","mullah","null","null","Mullah Spiny Mouse","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","muridae","deomyinae","","acomys","false","","","","false","afrotropics","","","true","270","false","","","","","","","","","","false","NA","",""
"Acomys muzei","4724","W. Verheyen, Hulselmans, Wendelen, Leirs, Corti, Backeljau, & E. Verheyen","null","NULL","{""1803"":2011}","false","null","false","É. Geoffroy Saint-Hilaire","null","null","newsp","muzei","null","null","NULL","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","muridae","deomyinae","","acomys","false","","","","false","afrotropics","","","true","100000003","true","denovo","Verheyen, W., Hulselmans, J., Wendelen, W., Leirs, H., Corti, M., Backeljau, T. & Verheyen, E. 2011. Contribution to the systematics & zoogeography of the East-African Acomys spinosissimus Peters 1852 species complex & the description of two new species (Rodentia: Muridae). Zootaxa 3059:1-35","Verheyen, W., Hulselmans, J., Wendelen, W., Leirs, H., Corti, M., Backeljau, T & Verheyen, E","2011","https://www.researchgate.net/publication/224863134 Contribution to the systematics and zoogeography of the East-African Acomys spinosissimus Peters 1852 species complex and the description of two new species Rodentia Muridae","Verheyen, W., Hulselmans, J., Wendelen, W., Leirs, H., Corti, M., Backeljau, T. & Verheyen, E. 2011. Contribution to the systematics & zoogeography of the East-African Acomys spinosissimus Peters 1852 species complex & the description of two new species (Rodentia: Muridae). Zootaxa 3059:1-35","W. Verheyen, Hulselmans, Wendelen, Leirs & Corti","2011","https://www.researchgate.net/publication/224863134 Contribution to the systematics and zoogeography of the East-African Acomys spinosissimus Peters 1852 species complex and the description of two new species Rodentia Muridae","false","NA","",""
"Acomys nesiotes","4725","Bate","null","NULL","{""1803"":1903}","false","null","false","É. Geoffroy Saint-Hilaire","null","null","iucn","nesiotes","null","null","Cyprus Spiny Mouse","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","muridae","deomyinae","","acomys","false","","","","false","palearctic","","","true","271","false","","","","","","","","","","false","NA","",""
