major_type,major_subtype,linnean_order,linnean_family,linnean_subfamily,linnean_tribeg,genus,canonical_sciname,juniorSynonym,synonymOf,notes,citation,extinct,species_authority,authority_year,authority_fullcitation,authority_link,geo_distribution,MDDv1,internal_id,newSppSinceMSW3,IfNew_category,IfNew_valid_SciName,IfNew_described_SciName,IfNew_GeoRegion,IfNew_evidenceCitation,IfNew_evidenceAuthors,IfNew_evidenceYear,IfNew_evidenceLink,IfNew_nameCitation,IfNew_nameAuthors,IfNew_nameYear,IfNew_nameLink,genusTransfersinceMSW3,IfTransfer_oldSciName,IfTransfer_oldIUCN_ID,IfTransfer_evidenceCitation
Placentalia,Afrotheria,AFROSORICIDA,TENRECIDAE,ORYZORICTINAE,NA,Microgale,Microgale_mergulus,NO,NA,moved_from_Limnogale_to_Microgale,"Everson,_K._M.,_Soarimalala,_V.,_Goodman,_S._M.,_&_Olson,_L._E._(2016)._Multiple_loci_and_complete_taxonomic_sampling_resolve_the_phylogeny_and_biogeographic_history_of_tenrecs_(Mammalia:_Tenrecidae)_and_reveal_higher_speciation_rates_in_Madagascar's_humid_forests._Systematic_biology,_65(5),_890-909.",0,Major,1896,,,Afrotropic,0,400000259,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Limnogale_mergulus,_toLookUp,"Everson,_K._M.,_Soarimalala,_V.,_Goodman,_S._M.,_&_Olson,_L._E._(2016)._Multiple_loci_and_complete_taxonomic_sampling_resolve_the_phylogeny_and_biogeographic_history_of_tenrecs_(Mammalia:_Tenrecidae)_and_reveal_higher_speciation_rates_in_Madagascar's_humid_forests._Systematic_biology,_65(5),_890-909."
Placentalia,Afrotheria,AFROSORICIDA,TENRECIDAE,ORYZORICTINAE,NA,Microgale,Microgale_monticola,NO,NA,NA,NA,0,Goodman & Jenkins,1998,,,Afrotropic,0,29462,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,TENRECIDAE,ORYZORICTINAE,NA,Microgale,Microgale_nasoloi,NO,NA,NA,NA,0,Jenkins & Goodman,1999,,,Afrotropic,0,62017,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,TENRECIDAE,ORYZORICTINAE,NA,Microgale,Microgale_parvula,NO,NA,NA,NA,0,G. Grandidier,1934,,,Afrotropic,0,13349,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,TENRECIDAE,ORYZORICTINAE,NA,Microgale,Microgale_principula,NO,NA,NA,NA,0,Thomas,1926,,,Afrotropic,0,13350,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,TENRECIDAE,ORYZORICTINAE,NA,Microgale,Microgale_pusilla,NO,NA,NA,NA,0,Major,1896,,,Afrotropic,0,41314,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,TENRECIDAE,ORYZORICTINAE,NA,Microgale,Microgale_soricoides,NO,NA,NA,NA,0,Jenkins,1993,,,Afrotropic,0,62018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,TENRECIDAE,ORYZORICTINAE,NA,Microgale,Microgale_taiva,NO,NA,NA,NA,0,Major,1896,,,Afrotropic,0,62019,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,TENRECIDAE,ORYZORICTINAE,NA,Microgale,Microgale_thomasi,NO,NA,NA,NA,0,Major,1896,,,Afrotropic,0,13355,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,TENRECIDAE,ORYZORICTINAE,NA,Nesogale,Nesogale_dobsoni,NO,NA,moved_to_Nesogale,"Everson,_K._M.,_Soarimalala,_V.,_Goodman,_S._M.,_&_Olson,_L._E._(2016)._Multiple_loci_and_complete_taxonomic_sampling_resolve_the_phylogeny_and_biogeographic_history_of_tenrecs_(Mammalia:_Tenrecidae)_and_reveal_higher_speciation_rates_in_Madagascar's_humid_forests._Systematic_biology,_65(5),_890-909.",0,Thomas,1884,,,Afrotropic,0,400000331,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Microgale_dobsoni,_toLookUp,"Everson,_K._M.,_Soarimalala,_V.,_Goodman,_S._M.,_&_Olson,_L._E._(2016)._Multiple_loci_and_complete_taxonomic_sampling_resolve_the_phylogeny_and_biogeographic_history_of_tenrecs_(Mammalia:_Tenrecidae)_and_reveal_higher_speciation_rates_in_Madagascar's_humid_forests._Systematic_biology,_65(5),_890-909."
Placentalia,Afrotheria,AFROSORICIDA,TENRECIDAE,ORYZORICTINAE,NA,Nesogale,Nesogale_talazaci,NO,NA,moved_to_Nesogale,"Everson,_K._M.,_Soarimalala,_V.,_Goodman,_S._M.,_&_Olson,_L._E._(2016)._Multiple_loci_and_complete_taxonomic_sampling_resolve_the_phylogeny_and_biogeographic_history_of_tenrecs_(Mammalia:_Tenrecidae)_and_reveal_higher_speciation_rates_in_Madagascar's_humid_forests._Systematic_biology,_65(5),_890-909.",0,Major,1896,,,Afrotropic,0,400000332,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Microgale_talazaci,_toLookUp,"Everson,_K._M.,_Soarimalala,_V.,_Goodman,_S._M.,_&_Olson,_L._E._(2016)._Multiple_loci_and_complete_taxonomic_sampling_resolve_the_phylogeny_and_biogeographic_history_of_tenrecs_(Mammalia:_Tenrecidae)_and_reveal_higher_speciation_rates_in_Madagascar's_humid_forests._Systematic_biology,_65(5),_890-909."
Placentalia,Afrotheria,AFROSORICIDA,TENRECIDAE,ORYZORICTINAE,NA,Oryzorictes,Oryzorictes_hova,NO,NA,NA,NA,0,A. Grandidier,1870,,,Afrotropic,0,40589,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,TENRECIDAE,ORYZORICTINAE,NA,Oryzorictes,Oryzorictes_tetradactylus,NO,NA,NA,NA,0,Milne-Edwards & A. Grandidier,1882,,,Afrotropic,0,40591,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,TENRECIDAE,TENRECINAE,NA,Setifer,Setifer_setosus,NO,NA,NA,NA,0,Schreber,1778,,,Afrotropic,0,40594,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,TENRECIDAE,TENRECINAE,NA,Tenrec,Tenrec_ecaudatus,NO,NA,NA,NA,0,Schreber,1778,,,Afrotropic,0,40595,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Boreoeutheria,ARTIODACTYLA,ANTILOCAPRIDAE,NA,NA,Antilocapra,Antilocapra_americana,NO,NA,NA,NA,0,Ord,1815,,,Nearctic,0,1677,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Boreoeutheria,ARTIODACTYLA,BALAENIDAE,NA,NA,Balaena,Balaena_mysticetus,NO,NA,NA,NA,0,Linnaeus,1758,"Linneaus, C von. 1758. Systema naturae per regna tria naturae: secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis. (10th Ed.). Stockholm: Laurentius Salvius.",https://biodiversitylibrary.org/page/25033865,Marine,0,2467,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Boreoeutheria,ARTIODACTYLA,BALAENIDAE,NA,NA,Eubalaena,Eubalaena_australis,NO,NA,NA,NA,0,Desmoulins,1822,,,Marine,0,8153,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Boreoeutheria,ARTIODACTYLA,BALAENIDAE,NA,NA,Eubalaena,Eubalaena_glacialis,NO,NA,NA,NA,0,Müller,1776,,,Marine,0,41712,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Boreoeutheria,ARTIODACTYLA,BALAENIDAE,NA,NA,Eubalaena,Eubalaena_japonica,NO,NA,NA,NA,0,Lacépède,1818,,,Marine,0,41711,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
