Source	ID	Order	Family	Genus	Species	SciName
IUCN	1789	CHIROPTERA	VESPERTILIONIDAE	Bauerus	dubiaquercus	Bauerus_dubiaquercus
IUCN	1790	CHIROPTERA	VESPERTILIONIDAE	Antrozous	pallidus	Antrozous_pallidus
IUCN	1793	CARNIVORA	MUSTELIDAE	Aonyx	capensis	Aonyx_capensis
IUCN	1794	CARNIVORA	MUSTELIDAE	Aonyx	congicus	Aonyx_congicus
IUCN	1802	PRIMATES	AOTIDAE	Aotus	miconax	Aotus_miconax
IUCN	1807	PRIMATES	AOTIDAE	Aotus	griseimembra	Aotus_griseimembra
IUCN	1808	PRIMATES	AOTIDAE	Aotus	lemurinus	Aotus_lemurinus
IUCN	1869	RODENTIA	APLODONTIIDAE	Aplodontia	rufa	Aplodontia_rufa
IUCN	1888	RODENTIA	MURIDAE	Apodemus	agrarius	Apodemus_agrarius
IUCN	1890	RODENTIA	MURIDAE	Apodemus	chevrieri	Apodemus_chevrieri
IUCN	1891	RODENTIA	MURIDAE	Apodemus	draco	Apodemus_draco
IUCN	1892	RODENTIA	MURIDAE	Apodemus	flavicollis	Apodemus_flavicollis
IUCN	1894	RODENTIA	MURIDAE	Apodemus	gurkha	Apodemus_gurkha
IUCN	1896	RODENTIA	MURIDAE	Apodemus	hyrcanicus	Apodemus_hyrcanicus
IUCN	1897	RODENTIA	MURIDAE	Apodemus	latronum	Apodemus_latronum
IUCN	1898	RODENTIA	MURIDAE	Apodemus	mystacinus	Apodemus_mystacinus
IUCN	1899	RODENTIA	MURIDAE	Apodemus	peninsulae	Apodemus_peninsulae
IUCN	1900	RODENTIA	MURIDAE	Apodemus	ponticus	Apodemus_ponticus
IUCN	1901	RODENTIA	MURIDAE	Apodemus	rusiges	Apodemus_rusiges
IUCN	1902	RODENTIA	MURIDAE	Apodemus	semotus	Apodemus_semotus
IUCN	1903	RODENTIA	MURIDAE	Apodemus	speciosus	Apodemus_speciosus
IUCN	1904	RODENTIA	MURIDAE	Apodemus	sylvaticus	Apodemus_sylvaticus
IUCN	1905	RODENTIA	MURIDAE	Apodemus	uralensis	Apodemus_uralensis
IUCN	1906	RODENTIA	MURIDAE	Apodemus	pallipes	Apodemus_pallipes
IUCN	1907	RODENTIA	MURIDAE	Apodemus	alpicola	Apodemus_alpicola
IUCN	1910	RODENTIA	MURIDAE	Apomys	datae	Apomys_datae
IUCN	1911	RODENTIA	MURIDAE	Apomys	hylocetes	Apomys_hylocetes
IUCN	1912	RODENTIA	MURIDAE	Apomys	insignis	Apomys_insignis
IUCN	1913	RODENTIA	MURIDAE	Apomys	littoralis	Apomys_littoralis
IUCN	1914	RODENTIA	MURIDAE	Apomys	microdon	Apomys_microdon
IUCN	1915	RODENTIA	MURIDAE	Apomys	musculus	Apomys_musculus
IUCN	1916	RODENTIA	MURIDAE	Apomys	sacobianus	Apomys_sacobianus
IUCN	1917	RODENTIA	MURIDAE	Apomys	gracilirostris	Apomys_gracilirostris
IUCN	1933	CHIROPTERA	PTEROPODIDAE	Aproteles	bulmerae	Aproteles_bulmerae
IUCN	2017	RODENTIA	CRICETIDAE	Arborimus	albipes	Arborimus_albipes
IUCN	2018	RODENTIA	CRICETIDAE	Arborimus	pomo	Arborimus_pomo
IUCN	2045	RODENTIA	MURIDAE	Archboldomys	luzonensis	Archboldomys_luzonensis
IUCN	2053	PRIMATES	LORISIDAE	Arctocebus	aureus	Arctocebus_aureus
IUCN	2054	PRIMATES	LORISIDAE	Arctocebus	calabarensis	Arctocebus_calabarensis
IUCN	2055	CARNIVORA	OTARIIDAE	Arctocephalus	australis	Arctocephalus_australis
IUCN	2057	CARNIVORA	OTARIIDAE	Arctocephalus	galapagoensis	Arctocephalus_galapagoensis
IUCN	2058	CARNIVORA	OTARIIDAE	Arctocephalus	gazella	Arctocephalus_gazella
IUCN	2059	CARNIVORA	OTARIIDAE	Arctocephalus	philippii	Arctocephalus_philippii
IUCN	2060	CARNIVORA	OTARIIDAE	Arctocephalus	pusillus	Arctocephalus_pusillus
IUCN	2061	CARNIVORA	OTARIIDAE	Arctocephalus	townsendi	Arctocephalus_townsendi
IUCN	2062	CARNIVORA	OTARIIDAE	Arctocephalus	tropicalis	Arctocephalus_tropicalis
IUCN	2089	CHIROPTERA	PHYLLOSTOMIDAE	Ardops	nichollsi	Ardops_nichollsi
IUCN	2110	CHIROPTERA	PHYLLOSTOMIDAE	Ariteus	flavescens	Ariteus_flavescens
IUCN	2121	CHIROPTERA	PHYLLOSTOMIDAE	Artibeus	amplus	Artibeus_amplus
