image,deprecated_scientific,common_name,simple_linnean_group,simple_linnean_subgroup,linnean_order,linnean_family,notes,genus,genus_authority,species,species_authority,subspecies,canonical_sciname,authority_year,major_type,major_subtype,taxon_author,taxon_credit,taxon_credit_date,parens_auth_genus,parens_auth_species,source,internal_id
,,,eutheria,,AFROSORICIDA,TENRECIDAE,,Potamogale,,velox,,,Potamogale_velox,,,,,,,FALSE,FALSE,IUCN,18095
,,,eutheria,,AFROSORICIDA,TENRECIDAE,,Setifer,,setosus,,,Setifer_setosus,,,,,,,FALSE,FALSE,IUCN,40594
,,,eutheria,,AFROSORICIDA,TENRECIDAE,,Tenrec,,ecaudatus,,,Tenrec_ecaudatus,,,,,,,FALSE,FALSE,IUCN,40595
,,,eutheria,,ARTIODACTYLA,ANTILOCAPRIDAE,,Antilocapra,,americana,,,Antilocapra_americana,,,,,,,FALSE,FALSE,IUCN,1677
,,,eutheria,,ARTIODACTYLA,BALAENIDAE,,Balaena,,mysticetus,,,Balaena_mysticetus,,,,,,,FALSE,FALSE,IUCN,2467
,,,eutheria,,ARTIODACTYLA,BALAENIDAE,,Eubalaena,,australis,,,Eubalaena_australis,,,,,,,FALSE,FALSE,IUCN,8153
,,,eutheria,,ARTIODACTYLA,BALAENIDAE,,Eubalaena,,glacialis,,,Eubalaena_glacialis,,,,,,,FALSE,FALSE,IUCN,41712
,,,eutheria,,ARTIODACTYLA,BALAENIDAE,,Eubalaena,,japonica,,,Eubalaena_japonica,,,,,,,FALSE,FALSE,IUCN,41711
,,,eutheria,,ARTIODACTYLA,BALAENOPTERIDAE,,Balaenoptera,,acutorostrata,,,Balaenoptera_acutorostrata,,,,,,,FALSE,FALSE,IUCN,2474
,,,eutheria,,ARTIODACTYLA,BALAENOPTERIDAE,,Balaenoptera,,bonaerensis,,,Balaenoptera_bonaerensis,,,,,,,FALSE,FALSE,IUCN,2480
,,,eutheria,,ARTIODACTYLA,BALAENOPTERIDAE,,Balaenoptera,,borealis,,,Balaenoptera_borealis,,,,,,,FALSE,FALSE,IUCN,2475
,,,eutheria,,ARTIODACTYLA,BALAENOPTERIDAE,,Balaenoptera,,edeni,,,Balaenoptera_edeni,,,,,,,FALSE,FALSE,IUCN,2476
